Driver,LapNumber,D_lap,H_lap,n_valid_samples,freeze_flag,yellow_flag,thin_lap,IsAccurate,TrackStatus,max_dt_used,mean_throttle,n_dt_gaps,calibration_set,error
SAI,4,3670.1027249999997,10547.30061728395,333,False,False,False,True,1,0.879,65.09909909909909,1,True,
SAI,5,3663.379944444445,8388.222839506172,328,False,False,False,True,1,0.92,65.90243902439025,0,True,
SAI,6,3822.7052444444444,9709.04012345679,332,False,False,False,True,1,0.92,66.5210843373494,0,True,
SAI,7,3998.593552777778,8749.512962962965,308,False,False,False,True,1,0.999,70.60714285714286,0,True,
SAI,8,3777.462436111111,8394.688271604939,307,False,False,False,True,1,0.88,69.64495114006515,3,True,
SAI,9,3756.2426944444446,8877.93888888889,326,False,False,False,True,1,0.96,68.23926380368098,1,True,
SAI,10,3929.8369583333333,6907.228395061729,315,False,False,False,True,1,0.92,69.64444444444445,1,True,
SAI,11,0.0,0.0,397,True,False,False,False,16,0.52,53.984886649874056,2,False,
SAI,12,0.0,0.0,434,True,False,False,False,6,1.0,43.75806451612903,0,False,
SAI,13,0.0,0.0,413,True,False,False,False,671,0.88,44.544794188861985,1,False,
SAI,14,3656.577366666667,9270.458024691357,311,False,False,False,True,1,0.76,65.40192926045016,1,True,
SAI,15,3875.494475,10282.114197530867,328,False,False,False,True,1,1.0,69.20731707317073,1,True,
SAI,16,3616.120572222222,8277.864197530866,311,False,False,False,True,1,1.0,66.83601286173634,2,True,
SAI,17,3697.8817361111114,7869.259259259259,311,False,False,False,True,1,0.92,68.09003215434083,2,True,
SAI,18,0.0,0.0,374,True,False,False,False,126,0.96,47.49465240641711,1,False,
SAI,19,0.0,0.0,411,True,False,False,False,671,0.881,43.39172749391727,1,False,
SAI,20,3731.9580333333333,10098.208024691357,324,False,False,False,True,1,0.84,66.1574074074074,1,True,
SAI,21,3775.9446083333332,10117.229012345679,315,False,False,False,True,1,0.96,68.98412698412699,0,True,
SAI,22,3878.129575,8852.317901234568,308,False,False,False,True,1,1.0,69.39285714285714,2,True,
SAI,23,3847.3601333333336,9202.117283950618,306,False,False,False,True,1,1.0,69.39542483660131,1,True,
SAI,24,3785.8499333333334,9625.27777777778,317,False,False,False,True,1,1.0,67.86435331230284,1,True,
SAI,25,3863.7944916666665,9223.561728395063,321,False,False,False,True,1,0.72,67.74766355140187,1,True,
SAI,26,3920.944197222222,9274.759876543209,330,False,False,False,True,1,0.96,68.67272727272727,0,True,
SAI,27,3866.8400944444443,8994.54074074074,323,False,False,False,True,1,0.961,68.58204334365325,1,True,
SAI,28,3707.028694444444,9579.487654320988,316,False,False,False,True,1,0.88,67.4367088607595,2,True,
SAI,29,3759.0382222222224,10597.248148148146,334,False,False,False,True,1,0.919,65.46407185628742,0,True,
SAI,30,3859.731333333333,9107.215432098765,328,False,False,False,True,1,0.84,67.6829268292683,1,True,
SAI,31,3724.213763888889,9390.657407407407,311,False,False,False,True,1,0.879,66.90032154340837,2,True,
SAI,32,3728.3512333333338,9764.698765432098,330,False,False,False,True,1,0.96,65.39696969696969,1,True,
SAI,33,0.0,0.0,439,True,False,False,False,167,0.8,43.37129840546697,3,False,
SAI,34,0.0,0.0,339,True,False,False,False,1,0.84,62.525073746312685,0,False,
SAI,35,3775.172088888889,9787.307407407407,316,False,False,False,True,1,0.68,66.99050632911393,2,True,
SAI,36,3819.4809305555555,9905.629629629631,314,False,False,False,True,1,0.92,69.20382165605096,1,True,
SAI,37,3817.9727305555557,10352.562345679013,323,False,False,False,True,1,0.8,66.53869969040248,0,True,
SAI,38,3537.416291666667,10222.79938271605,327,False,False,False,True,1,0.92,63.44648318042813,1,True,
SAI,39,3622.877658333333,11554.124691358025,336,False,False,False,True,1,0.92,63.717261904761905,0,True,
