Driver,LapNumber,DriverNumber,IsAccurate,TrackStatus,PitInTime,PitOutTime,freeze_flag,yellow_flag,race_state_factor,race_state_label,thin_lap,n_raw_samples,n_in_window,n_valid_samples,error,D_lap,H_lap,max_dt_used,n_dt_gaps,mean_throttle,calibration_set,LapStartDistance,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,EstimatedEnergyIndex_end,EstimatedEnergyIndex_min,EstimatedEnergyIndex_max,n_clip_low,n_clip_high,EstimatedEnergyIndex
GAS,15,10,True,1,,,False,False,1.0,normal,False,327,326,301,,3502.488513888889,6282.293209876543,1.0,1,66.61794019933555,True,2.53166666666667,17155.326904650457,99585.82226364956,400.00000000000006,0.8816058324871474,0.8705658054091334,0.989494081260355,0,0,0.8816058324871474
GAS,16,10,True,1,,,False,False,1.0,normal,False,315,314,298,,3725.192319444445,7114.426543209878,1.0,2,71.00335570469798,True,7.249999999999995,16926.013156508103,99574.04885606888,400.0,0.8563361834282894,0.819019084466457,0.9359760796505205,0,0,0.8563361834282894
GAS,17,10,True,1,,,False,False,1.0,normal,False,308,307,302,,3586.251975,9521.420370370372,0.92,2,66.20860927152317,True,13.22111111111111,16722.418437996457,99557.45068070524,400.0,0.9181831266758776,0.8471288787680392,0.9559975359173821,0,0,0.9181831266758776
GAS,18,10,False,126,,,True,False,0.0,freeze,False,369,368,364,,0.0,0.0,0.76,1,52.72802197802198,False,19.2225,16517.791349540737,99540.76834079402,400.0,0.9181831266758776,0.9181831266758776,0.9181831266758776,0,0,0.9181831266758776
GAS,19,10,False,671,,,True,False,0.0,freeze,False,423,422,419,,0.0,0.0,0.881,1,43.95465393794749,False,14.490555555555552,16679.13467061656,99553.92194692166,400.0,0.9181831266758776,0.9181831266758776,0.9181831266758776,0,0,0.9181831266758776
GAS,20,10,True,1,,,False,False,1.0,normal,False,329,328,327,,3686.608422222223,8975.404938271604,0.84,1,64.4862385321101,True,4.933055555555555,17034.025513517674,99579.9202880634,400.0,0.9494109410107283,0.9048204811658328,1.0,0,1,0.9494109410107283
GAS,21,10,True,1,,,False,False,1.0,normal,False,319,318,312,,3699.247325,8569.32716049383,0.96,0,66.07371794871794,True,17.03333333333333,16592.434537882298,99546.85366922912,400.0,0.927059607684895,0.9119695674345908,1.0,0,1,0.927059607684895
GAS,22,10,True,1,,,False,False,1.0,normal,False,306,305,289,,3608.731966666667,6683.703703703703,1.0,2,69.76124567474048,True,0.2938888888888904,17268.363805398367,99591.32212661332,400.0,0.8958628214811687,0.8530636878458364,0.9799887889791673,0,0,0.8958628214811687
GAS,23,10,True,1,,,False,False,1.0,normal,False,299,298,288,,3551.4653916666666,9049.820987654322,1.0,1,68.18402777777777,True,4.635555555555557,17049.05313525315,99580.6514639862,400.0,0.9448805807056628,0.886970353928158,0.9845777678450938,0,0,0.9448805807056628
GAS,24,10,True,1,,,False,False,1.0,normal,False,318,317,294,,3532.8961972222223,6002.614197530866,1.0,1,70.79251700680273,True,9.567777777777778,16846.984763725206,99567.60602134456,400.0,0.8969057322895496,0.8820721585272225,0.9892794515438142,0,0,0.8969057322895496
