Driver,DriverNumber,LapNumber,Position,PositionChange,LapTimeSeconds,LapTimeDelta,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,DriverAhead_end,DistanceToDriverAhead_end,DistanceToDriverAhead_median,n_samples_with_car_ahead,n_car_samples_ahead_extract
BOR,5,16,8.0,0.0,84.98,0.1610000000000013,0.9242821033946456,16919.288544945797,99573.50062828192,400.0,87,161.26138888889,98.13430555555531,312,313
BOR,5,17,8.0,0.0,85.061,0.081000000000003,0.8743591269534788,16647.576352693188,99551.34913708208,400.0,87,218.9033333333309,142.65555555555648,307,308
BOR,5,18,9.0,1.0,110.359,25.297999999999988,0.8743591269534788,16594.10148384704,99546.98956794813,400.0,87,147.0452777777709,147.7699999999959,401,402
BOR,5,19,11.0,2.0,115.679,5.320000000000007,0.8743591269534788,17193.75888964903,99587.69218974908,400.0,10,1.4674999999988358,21.770833333333556,430,431
BOR,5,20,9.0,-2.0,85.201,-30.47800000000001,0.9260350125435384,16657.862166998344,99552.18769395056,400.00000000000006,87,345.9744444444523,225.28888888889117,320,321
BOR,5,21,9.0,0.0,85.044,-0.1569999999999964,0.8944383048859746,17082.349630470973,99582.27152044266,400.0,87,359.9294444444404,289.2458333333332,313,314
BOR,5,22,9.0,0.0,84.428,-0.6159999999999997,0.857755455341101,17272.390815144474,99591.51806264494,400.0,87,369.38972222221946,331.7480555555567,303,304
BOR,5,23,9.0,0.0,84.335,-0.0930000000000035,0.8221884178161672,17225.273397975718,99589.22554280476,400.0,87,324.852777777779,355.05638888888984,296,297
BOR,5,24,9.0,0.0,84.327,-0.0079999999999955,0.792188417816167,16732.278044526538,99558.25449074215,400.00000000000006,87,329.8305555555553,287.5890277777776,314,315
BOR,5,25,9.0,0.0,84.37,0.0430000000000063,0.7430140499079212,16986.72568824195,99577.61889307197,400.00000000000006,87,351.5877777777805,290.9744444444425,315,316
BOR,5,26,9.0,0.0,84.533,0.1629999999999967,0.7176724490401876,17193.74485825619,99587.69150704514,400.0,87,394.0252777777732,339.0647222222202,316,317
BOR,5,27,9.0,0.0,84.535,0.0019999999999953,0.6720047241674575,16927.916884570106,99574.2040585832,400.0,87,368.1969444444494,341.0141666666665,317,318
BOR,5,28,9.0,0.0,84.44,-0.0949999999999988,0.6144599728662166,17140.060749236636,99585.0794817597,400.0,87,417.6497222222124,366.1408333333332,311,312
BOR,5,29,9.0,0.0,84.694,0.2540000000000049,0.595419948392848,16734.314370563006,99558.42050338186,400.0,87,354.3783333333331,333.3500000000004,311,312
BOR,5,30,9.0,0.0,84.364,-0.3299999999999983,0.5633712574845269,17196.87385886031,99587.8437500244,400.0,87,350.2202777777684,315.60041666666405,324,325
BOR,5,31,9.0,0.0,84.153,-0.2109999999999985,0.5698625261147263,16784.436404911896,99562.50673077413,400.0,87,337.7197222222221,306.77736111111153,300,301
BOR,5,32,9.0,0.0,83.978,-0.1750000000000113,0.5409414754179335,16869.223338300257,99569.41903380051,400.0,87,271.37194444444503,256.3363888888898,311,312
BOR,5,33,11.0,2.0,104.235,20.257000000000005,0.5409414754179335,17246.053890777068,99590.23662734416,400.0,31,243.54250000000505,211.85361111111612,383,384
BOR,5,34,11.0,0.0,93.286,-10.948999999999998,0.5409414754179335,16986.557311527828,99577.61070062465,400.00000000000006,31,371.1186111111083,365.5583333333342,343,344
BOR,5,35,11.0,0.0,83.954,-9.332000000000008,0.5041929612495861,16922.859218972542,99573.79172951527,400.0,31,338.7572222222225,348.5019444444441,308,309
BOR,5,36,11.0,0.0,83.655,-0.2989999999999924,0.4453072365475252,16904.077663017546,99572.26055247088,400.0,31,286.3144444444488,281.7626388888888,308,309
BOR,5,37,11.0,0.0,83.732,0.0769999999999981,0.4246917224304026,16604.406240719978,99547.82966912024,400.0,10,112.70333333332474,178.37444444444282,307,308
BOR,5,38,11.0,0.0,85.119,1.3870000000000005,0.4864565103786424,16990.35981898844,99577.79571339316,400.0,10,34.737222222220225,18.331527777777637,322,323
BOR,5,39,10.0,-1.0,84.83,-0.2890000000000015,0.4988408027124665,16701.83733810225,99555.77279481644,400.0,10,16.152777777778283,36.88055555555556,313,314
BOR,5,40,9.0,-1.0,84.696,-0.1340000000000003,0.4504375729180659,17276.459919069115,99591.71604678838,400.0,41,800.2525000000041,800.5191666666715,329,330
BOR,5,41,9.0,0.0,84.47,-0.2259999999999991,0.4087198805550308,16777.266643006733,99561.922211852,400.0,41,689.7091666666738,720.0491666666708,322,323
BOR,5,42,9.0,0.0,83.803,-0.6670000000000016,0.335496291695387,16737.98922871255,99558.72009828516,400.0,41,588.1852777777713,635.4436111111096,314,315
BOR,5,43,9.0,0.0,83.643,-0.1599999999999966,0.2701820564853148,16636.305524863412,99550.43027642508,400.0,41,511.8408333333291,566.2186111111068,311,312
BOR,5,44,9.0,0.0,83.736,0.0930000000000035,0.2226302467690647,16992.47855930782,99577.89880168854,400.0,41,469.9374999999982,515.2066666666658,305,306
BOR,5,45,9.0,0.0,83.257,-0.4789999999999992,0.1897728530451018,16906.14240290569,99572.42888156604,400.0,41,389.4558333333398,442.7011111111101,309,310
BOR,5,46,9.0,0.0,83.346,0.0889999999999986,0.139746020142736,16961.118396302412,99576.37295837622,400.0,41,341.86249999999745,352.8430555555524,303,304
BOR,5,47,9.0,0.0,83.976,0.6299999999999955,0.1108655681586849,16801.901452406102,99563.93057871656,400.0,41,291.6613888888969,268.73416666667026,309,310
BOR,5,48,9.0,0.0,85.008,1.0319999999999965,0.0836059257949883,16618.840477369205,99549.00642848264,400.0,41,294.3072222222281,255.21097222222318,318,319
BOR,5,49,9.0,0.0,84.889,-0.1189999999999997,0.0815056781889705,16755.378505935634,99560.13776901308,400.00000000000006,43,98.04416666666566,146.7177777777781,304,305
BOR,5,50,9.0,0.0,84.324,-0.5649999999999977,0.0672632483517924,17017.4544385694,99579.11401470688,400.0,41,295.0886111111122,244.8168055555559,304,305
BOR,5,51,9.0,0.0,85.635,1.311000000000007,0.0747224013080273,16787.8460671125,99562.78470542667,400.0,41,347.0333333333365,258.0413888888895,313,314
BOR,5,52,9.0,0.0,84.359,-1.2760000000000105,0.0534333878768314,17190.601826259226,99587.53858136194,400.0,63,224.2063888888888,134.80374999999975,300,301
BOR,5,53,9.0,0.0,86.063,1.7040000000000075,0.0702077276926035,16658.600927141808,99552.24792179196,400.0,41,289.75555555556184,192.4322222222263,315,316
BOR,5,54,9.0,0.0,84.548,-1.5150000000000006,0.0942707731725093,16942.69208743939,99575.40861541088,400.0,41,21.12666666666246,59.923611111111995,314,315
BOR,5,55,9.0,0.0,85.268,0.7199999999999989,0.1453455693042661,16259.499966561058,99519.71098871264,400.0,41,89.84694444445267,42.0193055555564,318,319
BOR,5,56,9.0,0.0,84.515,-0.7530000000000001,0.1073190265685411,17179.601214269856,99587.00334147071,400.0,41,25.021111111113896,32.67666666666764,323,324
BOR,5,57,9.0,0.0,84.821,0.3059999999999974,0.1557782403845926,16854.912228341607,99568.25231241169,400.0,3,2634.9661111111136,43.65611111110945,302,303
BOT,77,1,15.0,,100.85,,0.9203812977889024,17283.209019026875,99592.0444273849,400.0,23,10.890277777774829,8.239722222218006,372,375
BOT,77,2,18.0,3.0,90.152,-10.697999999999992,0.966737109041491,17242.798607637353,99590.0782400294,400.0,11,25.860555555562318,25.774444444444956,345,346
BOT,77,3,19.0,1.0,89.219,-0.9330000000000068,0.9641072063921488,16911.73046040113,99572.88445113548,400.0,11,67.22027777777475,17.339444444444325,335,336
BOT,77,4,19.0,0.0,88.057,-1.161999999999992,0.9548117140942602,16749.847276143544,99559.68683235452,400.00000000000006,11,141.08388888889112,70.65763888888901,336,337
BOT,77,5,19.0,0.0,87.738,-0.3190000000000026,0.9466622080037712,16664.34052517949,99552.71584579036,400.0,11,137.9830555555618,97.7411111111137,335,336
